# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar 24 15:07:14 2025
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_rvamp:       Radial Velocity Amplitude [m/s]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_rvamp,sy_dist,sy_gaiamag,rowupdate,pl_pubdate,releasedate
CoRoT-10 b,1,1,1,0,Transit,2010,CoRoT,Published Confirmed,0,13.24060000,0.105500,10.870,874.00000,301.000,338.3860000,14.6645000,2014-05-14,2010-09,2014-05-14
CoRoT-11 b,1,1,1,0,Transit,2010,CoRoT,Published Confirmed,0,2.99433000,0.043600,16.030,740.51000,280.000,655.0370000,12.8410000,2014-05-14,2010-12,2014-05-14
CoRoT-12 b,1,1,1,0,Transit,2010,CoRoT,Published Confirmed,0,2.82804200,0.040160,16.140,291.43800,125.500,1126.3700000,15.3453000,2014-05-14,2010-09,2014-05-14
CoRoT-13 b,1,1,1,0,Transit,2010,CoRoT,Published Confirmed,0,4.03519000,0.051000,9.920,415.70400,157.800,1148.9300000,14.9147000,2014-05-14,2010-11,2014-05-14
CoRoT-14 b,1,1,1,0,Transit,2010,CoRoT,Published Confirmed,0,1.51214000,0.027000,12.220,2415.40000,1230.000,1744.6000000,15.8116000,2014-05-14,2011-04,2014-05-14
CoRoT-16 b,1,1,1,0,Transit,2011,CoRoT,Published Confirmed,0,5.35227000,0.061800,13.110,170.03200,61.960,732.4090000,15.6507000,2014-05-14,2012-05,2014-05-14
CoRoT-17 b,1,1,1,0,Transit,2011,CoRoT,Published Confirmed,0,3.76810000,0.046100,11.430,772.29000,312.400,1176.1200000,15.4368000,2014-05-14,2011-07,2014-05-14
CoRoT-18 b,1,1,1,0,Transit,2011,CoRoT,Published Confirmed,0,1.90006930,0.029500,14.680,1102.82000,590.000,764.8890000,14.8009000,2019-12-02,2011-09,2014-05-14
CoRoT-19 b,1,1,1,0,Transit,2011,CoRoT,Published Confirmed,0,3.89713000,0.051800,14.460,352.78000,126.000,790.6630000,13.7831000,2014-05-14,2012-01,2014-05-14
CoRoT-2 b,1,2,1,0,Transit,2008,CoRoT,Published Confirmed,0,1.74299350,0.027980,16.432,1102.82000,603.000,213.2830000,12.2489000,2014-05-14,2010-02,2014-05-14
CoRoT-20 b,1,1,2,0,Transit,2011,CoRoT,Published Confirmed,0,9.24285000,0.090000,,1366.66900,467.000,844.0610000,14.4686000,2018-07-18,2018-11,2018-07-19
CoRoT-20 c,1,1,2,0,Radial Velocity,2018,Multiple Observatories,Published Confirmed,0,1675.00000000,2.900000,,,326.000,844.0610000,14.4686000,2018-07-18,2018-11,2018-07-19
CoRoT-21 b,1,1,1,0,Transit,2012,CoRoT,Published Confirmed,0,2.72474000,0.041700,14.572,718.29580,274.000,,15.8558000,2018-12-03,2012-09,2018-12-06
CoRoT-22 b,1,1,1,0,Transit,2014,CoRoT,Published Confirmed,0,9.75598000,0.092000,4.880,12.20000,3.700,627.1580000,13.7305000,2014-08-21,2014-08,2014-08-21
CoRoT-23 b,1,1,1,0,Transit,2011,CoRoT,Published Confirmed,0,3.63130000,0.048000,11.770,889.90000,377.000,1060.9700000,15.0681000,2014-05-14,2012-01,2014-05-14
CoRoT-24 b,1,1,2,0,Transit,2014,CoRoT,Published Confirmed,0,5.11340000,0.056000,3.700,5.70000,2.100,591.5550000,15.1801000,2018-06-06,2014-07,2018-05-31
CoRoT-24 c,1,1,2,0,Transit,2014,CoRoT,Published Confirmed,0,11.75900000,0.098000,5.000,28.00000,8.300,591.5550000,15.1801000,2014-06-11,2014-07,2014-06-11
CoRoT-25 b,1,1,1,0,Transit,2013,CoRoT,Published Confirmed,0,4.86069000,0.057800,12.110,85.81000,29.000,1103.4800000,14.7110000,2014-05-14,2013-07,2014-05-14
CoRoT-26 b,1,1,1,0,Transit,2013,CoRoT,Published Confirmed,0,4.20474000,0.052600,14.120,165.26000,61.000,1045.1800000,15.4682000,2014-05-14,2013-07,2014-05-14
CoRoT-27 b,1,1,1,0,Transit,2014,CoRoT,Published Confirmed,0,3.57532000,0.047600,11.287,3302.11000,1326.000,1010.2800000,15.3902000,2014-05-14,2014-02,2014-05-14
CoRoT-28 b,1,1,1,0,Transit,2015,CoRoT,Published Confirmed,0,5.20851000,0.060300,10.705,153.82972,56.400,766.1830000,13.4119000,2015-04-16,2015-07,2015-04-16
CoRoT-29 b,1,1,1,0,Transit,2015,CoRoT,Published Confirmed,0,2.85057000,0.038600,10.088,270.15550,125.000,806.5070000,15.2394000,2015-04-16,2015-07,2015-04-16
CoRoT-3 b,1,1,1,0,Transit,2008,CoRoT,Published Confirmed,0,4.25680000,,11.320,6883.91000,,768.7710000,13.2188000,2014-05-14,2008-12,2014-05-14
CoRoT-30 b,1,1,1,0,Transit,2020,CoRoT,Published Confirmed,0,9.06005000,0.084400,11.310,921.70700,283.000,1032.2300000,15.4130000,2020-04-10,2020-03,2020-04-16
CoRoT-31 b,1,1,1,0,Transit,2020,CoRoT,Published Confirmed,0,4.62941000,0.058600,16.365,266.97720,88.000,2005.7600000,15.4655000,2020-04-10,2020-03,2020-04-16
CoRoT-35 b,1,1,1,0,Transit,2022,CoRoT,Published Confirmed,0,3.22748000,0.042900,18.831,349.61125,150.000,1123.2100000,15.2625000,2022-08-01,2022-07,2022-08-01
CoRoT-36 b,1,1,1,0,Transit,2022,CoRoT,Published Confirmed,0,5.61653100,0.066000,15.805,216.12332,65.000,925.9580000,12.9515000,2022-08-01,2022-07,2022-08-01
CoRoT-4 b,1,1,1,0,Transit,2008,CoRoT,Published Confirmed,0,9.20205000,0.090000,13.340,228.83000,63.000,726.4120000,13.5613000,2014-05-14,2008-09,2014-05-14
CoRoT-5 b,1,1,1,0,Transit,2009,CoRoT,Published Confirmed,0,4.03789620,0.049470,15.558,148.42000,59.100,882.4720000,13.9021000,2014-05-14,2009-10,2014-05-14
CoRoT-6 b,1,1,1,0,Transit,2009,CoRoT,Published Confirmed,0,8.88659300,0.085500,13.068,940.74000,280.000,645.2940000,13.7459000,2014-05-14,2010-03,2014-05-14
CoRoT-7 b,1,1,3,0,Transit,2009,CoRoT,Published Confirmed,0,0.85359163,,1.681,4.07661,3.100,159.9060000,11.5239000,2020-11-13,2017-03,2020-11-19
CoRoT-7 c,1,1,3,0,Radial Velocity,2009,CoRoT,Published Confirmed,0,3.69800000,0.046000,,8.40000,4.000,159.9060000,11.5239000,2015-09-08,2009-10,2015-09-10
CoRoT-7 d,1,1,3,0,Radial Velocity,2022,La Silla Observatory,Published Confirmed,0,8.96600000,,,17.14200,5.525,159.9060000,11.5239000,2022-08-16,2022-07,2022-08-16
CoRoT-8 b,1,1,1,0,Transit,2010,CoRoT,Published Confirmed,0,6.21229000,0.063000,6.390,69.92000,26.000,322.0370000,14.2195000,2014-05-14,2010-09,2014-05-14
CoRoT-9 b,1,2,1,0,Transit,2009,CoRoT,Published Confirmed,0,95.27265600,0.402100,11.949,266.97720,39.000,412.9800000,13.5008000,2017-12-12,2017-07,2017-12-14
CoRoTID 223977153 b,1,1,1,0,Transit,2017,CoRoT,Published Confirmed,0,6.71837000,0.071000,6.389,47.67450,14.000,576.6830000,13.5867000,2017-09-14,2018-01,2017-09-15
DE CVn b,1,2,1,0,Eclipse Timing Variations,2018,Multiple Facilities,Published Confirmed,0,4098.10000000,5.750000,,,,30.5225000,11.9752000,2019-07-03,2018-11,2019-07-11
